Numbers generated 	 Range limit 	 Random number 
1				120				83
2				119				116
3				118				7
4				117				71
5				116				95
6				115				108
7				114				6
8				113				23
9				112				78
10				111				69
11				110				50
12				109				81
13				108				72
14				107				34
15				106				37
16				105				13
17				104				86
18				103				12
19				102				11
20				101				85
21				100				60
22				99				28
23				98				20
24				97				84
25				96				4
26				95				15
27				94				40
28				93				32
29				92				15
30				91				26
31				90				65
32				89				83
33				88				36
34				87				37
35				86				28
36				85				56
37				84				11
38				83				77
39				82				13
40				81				39
41				80				12
42				79				47
43				78				21
44				77				21
45				76				20
46				75				40
47				74				66
48				73				8
49				72				3
50				71				26
51				70				64
52				69				7
53				68				33
54				67				37
55				66				9
56				65				8
57				64				36
58				63				13
59				62				13
60				61				45
61				60				8
62				59				12
63				58				4
64				57				23
65				56				34
66				55				29
67				54				46
68				53				3
69				52				14
70				51				4
71				50				41
72				49				14
73				48				27
74				47				3
75				46				38
76				45				42
77				44				5
78				43				18
79				42				35
80				41				20
81				40				23
82				39				28
83				38				19
84				37				12
85				36				23
86				35				15
87				34				18
88				33				16
89				32				19
90				31				0
91				30				4
92				29				13
93				28				23
94				27				21
95				26				1
96				25				21
97				24				10
98				23				20
99				22				12
100				21				15
101				20				0
102				19				2
103				18				16
104				17				13
105				16				11
106				15				6
107				14				13
108				13				9
109				12				11
110				11				7
111				10				7
112				9				8
113				8				5
114				7				3
115				6				5
116				5				2
117				4				2
118				3				2
119				2				0
120				1				0
121				36				29
122				36				21
123				36				34
